R1i,R2i,R6i,R7i,R8i,R10i,R11i,R13i,R21i,R22i,R23i,R25i,R26i,R31i,T6i,T20i,R3r,R4,R5,R9,R12,R14,R15,R16,R17,R24,R27,R30,R32,T1r,T2r,T3,T4,T5,T7,T8,T9,T10,T11,T12,T13,T19,T21,T22
0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,15,1,-7,8,0,1,0,0,0,0,14,15,15,0,0,0,0,0
0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-7,0,-15,0,0,1,-7,8,0,1,0,0,-15,0,29,0,0,-15,0,-15,0,0
0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-7,0,-15,0,0,1,-7,8,-15,1,0,0,0,0,29,0,0,-15,0,0,0,0
0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,14,0,29,1,-7,8,0,1,0,0,14,0,0,29,29,14,0,14,0,0
0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,14,0,29,1,-7,8,14,1,0,0,0,0,0,29,29,14,0,0,0,0
0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,-16,0,14,2,-14,16,0,2,11,11,-16,0,0,14,14,-16,0,-16,0,0
0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,-16,0,14,2,-14,16,-16,2,11,11,0,0,0,14,14,-16,0,0,0,0
0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,16,0,0,0,30,2,-14,16,0,2,7,7,0,0,0,30,30,0,0,0,0,0
0,0,0,0,32,0,0,0,0,0,0,0,0,4,0,0,29,0,0,0,0,0,-28,0,-60,0,0,4,-28,32,0,4,29,29,-60,0,0,0,0,-60,0,-60,0,0
0,0,0,0,32,0,0,0,0,0,0,0,0,4,0,0,29,0,0,0,0,0,-28,0,-60,0,0,4,-28,32,-60,4,29,29,0,0,0,0,0,-60,0,0,0,0
